DateTime,PM2.5,irradiance,Battery,oldbattery,samplerate
2019-1-1 0:1:12,22.5,291,0,0,7
2019-1-1 0:9:48,22.4,415,0,0,7
2019-1-1 0:18:23,20.1,309,367,0,8
2019-1-1 0:25:54,17.4,503,367,0,8
2019-1-1 0:33:24,16.9,436,367,0,8
2019-1-1 0:40:55,15.7,215,362,367,7
2019-1-1 0:49:30,14.3,211,362,367,7
2019-1-1 0:58:5,13.4,147,362,367,7
2019-1-1 1:6:40,12.8,74,353,362,6
2019-1-1 1:16:41,11.7,22,353,362,6
2019-1-1 1:26:42,11.7,33,353,362,6
2019-1-1 1:36:42,0,49,341,353,5
2019-1-1 1:48:43,0,54,341,353,5
2019-1-1 2:0:44,0,65,341,353,5
2019-1-1 2:12:45,0,56,341,341,5
2019-1-1 2:24:46,0,78,341,341,5
2019-1-1 2:36:46,9,406,341,341,5
2019-1-1 2:48:47,6.4,2394,355,341,6
2019-1-1 2:58:48,6,1397,355,341,6
2019-1-1 3:8:49,6.4,485,355,341,6
2019-1-1 3:18:49,5.8,5027,369,355,7
2019-1-1 3:27:24,5.6,1051,369,355,7
2019-1-1 3:35:59,5,1112,369,355,7
2019-1-1 3:44:34,4.9,593,385,369,8
2019-1-1 3:52:5,4.8,3258,385,369,8
2019-1-1 3:59:36,3.3,4783,385,369,8
2019-1-1 4:7:7,3.6,4891,405,385,9
2019-1-1 4:13:47,3.9,300,405,385,9
2019-1-1 4:20:28,3.8,526,405,385,9
2019-1-1 4:27:9,4.2,1660,408,405,10
2019-1-1 4:33:10,4.2,4493,408,405,10
2019-1-1 4:39:10,3.3,1165,408,405,10
2019-1-1 4:45:11,3.9,440,418,408,11
2019-1-1 4:50:39,3.2,402,418,408,11
2019-1-1 4:56:7,4.3,348,418,408,11
2019-1-1 5:1:35,4,459,411,418,10
2019-1-1 5:7:36,4.7,483,411,418,10
2019-1-1 5:13:37,3.5,393,411,418,10
2019-1-1 5:19:38,3.7,444,408,411,9
2019-1-1 5:26:18,3.7,450,408,411,9
2019-1-1 5:32:59,3.4,472,408,411,9
2019-1-1 5:39:40,4.3,367,401,408,8
2019-1-1 5:47:11,3.7,430,401,408,8
2019-1-1 5:54:41,3.9,390,401,408,8
2019-1-1 6:2:12,3.3,453,397,401,7
2019-1-1 6:10:47,3.7,368,397,401,7
2019-1-1 6:19:22,4,207,397,401,7
2019-1-1 6:27:57,3.9,186,392,397,6
2019-1-1 6:37:58,5.6,179,392,397,6
2019-1-1 6:47:59,8.1,213,392,397,6
2019-1-1 6:57:59,7.9,201,384,392,5
2019-1-1 7:10:0,6.7,317,384,392,5
2019-1-1 7:22:1,6.9,152,384,392,5
2019-1-1 7:34:2,7.1,148,377,384,4
2019-1-1 7:49:2,8,102,377,384,4
